Date,Price,Open,High,Low,Vol.,Change %,,
30/04/2018,28.05,28.2,28.2,28.05,658.03K,4.28%,,
27/04/2018,26.9,26.9,26.9,26.9,230.53K,4.87%,,
26/04/2018,25.65,24.55,26.7,24.55,33.56K,0.00%,,
25/04/2018,25.65,26,26.7,25.65,142.04K,0.00%,,
24/04/2018,25.65,25.65,25.65,25.65,269.79K,-3.21%,,
23/04/2018,26.5,25.65,26.6,25.65,100.84K,3.31%,,
20/04/2018,25.65,27,27,25.65,82.82K,-5.00%,,
19/04/2018,27,28,0,0,56.37K,0.00%,,
18/04/2018,27,25.95,27,25.5,2.44M,4.05%,,
17/04/2018,25.95,24.95,25.95,25.95,281.57K,8.13%,,
16/04/2018,24,23.05,24,23.5,1.69M,2.13%,,
13/04/2018,23.5,23.5,23.5,23.5,65.16K,-2.69%,,
12/4/2018,24.15,23.15,0,0,112.46K,0.00%,,
11/4/2018,24.15,23.05,0,0,48.00K,-1.63%,,
10/4/2018,24.55,25.3,25.3,24.55,15.62K,1.66%,,
9/4/2018,24.15,24.05,24.15,24.15,94.81K,-2.23%,,
6/4/2018,24.7,24.8,25.85,24.7,35.85K,0.00%,,
5/4/2018,24.7,24.7,24.7,24.7,92.31K,-3.14%,,
4/4/2018,25.5,26,26,25.05,55.22K,-1.35%,,
3/4/2018,25.85,27,27,25.05,35.40K,0.58%,,
29/03/2018,25.7,25.9,25.9,25,17.44K,0.78%,,
28/03/2018,25.5,26,26,25.5,11.04K,-1.54%,,
27/03/2018,25.9,25.9,25.9,25.9,509.78K,0.19%,,
26/03/2018,25.85,25.8,25.85,25.7,160.93K,-0.19%,,
23/03/2018,25.9,25.7,25.9,25.7,333.85K,3.60%,,
22/03/2018,25,26,26,25,164.03K,0.00%,,
21/03/2018,25,26,26,25,209.13K,-0.20%,,
20/03/2018,25.05,25,25.95,25,58.29K,0.20%,,
19/03/2018,25,26,26,25,131.33K,0.81%,,
16/03/2018,24.8,24.85,24.85,24.15,74.96K,-1.20%,,
15/03/2018,25.1,26,26,24.9,3.93K,-3.28%,,
14/03/2018,25.95,26,26,24.8,11.60K,4.64%,,
13/03/2018,24.8,23.65,24.8,24.8,669.62K,-1.20%,,
12/3/2018,25.1,25,25.95,25,60.68K,-3.46%,,
9/3/2018,26,25,26,25,64.11K,0.00%,,
8/3/2018,26,25.5,26,25.5,15.60K,0.58%,,
7/3/2018,25.85,26,26,25.85,77.13K,-0.58%,,
6/3/2018,26,25.45,26,25.45,89.48K,1.76%,,
5/3/2018,25.55,26,26,25.55,45.80K,-1.73%,,
2/3/2018,26,24.85,26,24.85,33.01K,0.00%,,
1/3/2018,26,26.05,26.05,25,31.19K,-0.19%,,
28/02/2018,26.05,25.5,26.05,25.2,11.92K,4.83%,,
