Date,Price,Open,High,Low,Vol.,Change %
1/3/2018,0.73,0.78,0.78,0.72,3.68M,-2.67%
28/02/2018,0.75,0.73,0.76,0.7,11.92M,-1.32%
27/02/2018,0.76,0.74,0.77,0.71,5.26M,-1.30%
26/02/2018,0.77,0.72,0.77,0.72,3.55M,2.67%
23/02/2018,0.75,0.71,0.75,0.71,3.54M,2.74%
22/02/2018,0.73,0.67,0.73,0.67,3.89M,4.29%
21/02/2018,0.7,0.67,0.71,0.67,3.45M,0.00%
20/02/2018,0.7,0.7,0.73,0.69,3.10M,4.48%
19/02/2018,0.67,0.73,0.73,0.67,2.69M,-4.29%
16/02/2018,0.7,0.73,0.7,0.7,2.74M,0.00%
15/02/2018,0.7,0.73,0.75,0.7,6.81M,0.00%
14/02/2018,0.7,0.64,0.7,0.64,10.78M,4.48%
13/02/2018,0.67,0.7,0.67,0.67,2.16M,0.00%
12/2/2018,0.67,0.7,0.7,0.67,2.48M,-8.22%
9/2/2018,0.73,0.76,0.76,0.73,1.62M,-8.75%
8/2/2018,0.8,0.8,0.8,0.8,3.24M,-4.76%
7/2/2018,0.84,0.84,0.84,0.84,7.06M,-4.55%
6/2/2018,0.88,0.92,0.92,0.88,10.24M,0.00%
5/2/2018,0.88,0.84,0.88,0.88,27.63M,10.00%
2/2/2018,0.8,0.77,0.8,0.8,3.57M,8.11%
1/2/2018,0.74,0.71,0.74,0.74,4.68M,8.82%
31/01/2018,0.68,0.65,0.68,0.64,20.88M,4.62%
30/01/2018,0.65,0.63,0.66,0.63,11.47M,3.17%
29/01/2018,0.63,0.61,0.63,0.59,3.83M,6.78%
26/01/2018,0.59,0.59,0.59,0.59,2.29M,3.51%
25/01/2018,0.57,0.57,0.58,0.57,3.84M,-1.72%
24/01/2018,0.58,0.6,0.61,0.58,2.64M,-4.92%
23/01/2018,0.61,0.64,0.64,0.61,11.78M,-1.61%
22/01/2018,0.62,0.62,0.63,0.61,3.90M,0.00%
19/01/2018,0.62,0.65,0.65,0.62,3.93M,-4.62%
18/01/2018,0.65,0.64,0.65,0.64,4.72M,4.84%
17/01/2018,0.62,0.63,0.63,0.6,2.32M,3.33%
16/01/2018,0.6,0.63,0.66,0.6,4.82M,-3.23%
15/01/2018,0.62,0.63,0.63,0.6,2.59M,3.33%
12/1/2018,0.6,0.61,0.64,0.6,8.75M,1.69%
11/1/2018,0.59,0.56,0.59,0.55,5.11M,3.51%
10/1/2018,0.57,0.58,0.58,0.57,3.35M,1.79%
9/1/2018,0.56,0.54,0.56,0.53,1.42M,1.82%
8/1/2018,0.55,0.57,0.57,0.55,620.75K,-3.51%
5/1/2018,0.57,0.56,0.57,0.56,3.26M,3.64%
4/1/2018,0.55,0.53,0.55,0.53,2.49M,3.77%
3/1/2018,0.53,0.54,0.54,0.53,580.66K,-1.85%
2/1/2018,0.54,0.54,0.54,0.53,3.67M,3.85%
29/12/2017,0.52,0.53,0.53,0.52,210.89M,-1.89%
28/12/2017,0.53,0.55,0.55,0.53,4.02M,0.00%
27/12/2017,0.53,0.52,0.53,0.52,40.14M,0.00%
22/12/2017,0.53,0.52,0.54,0.53,1.38M,3.92%
21/12/2017,0.51,0.52,0.52,0.51,210.54M,-1.92%
20/12/2017,0.52,0.51,0.53,0.51,2.21M,-1.89%
19/12/2017,0.53,0.53,0.53,0.52,2.46M,3.92%
18/12/2017,0.51,0.53,0.53,0.51,3.97M,-3.77%
15/12/2017,0.53,0.52,0.53,0.52,1.54M,0.00%
14/12/2017,0.53,0.54,0.54,0.53,1.47M,-3.64%
13/12/2017,0.55,0.55,0.55,0.53,1.18M,1.85%
12/12/2017,0.54,0.52,0.54,0.52,646.33K,1.89%
11/12/2017,0.53,0.53,0.56,0.53,1.06M,-3.64%
