Date,Price,Open,High,Low,Vol.,Change %
17/01/2022,37.84,36.8,38,37.6,7.88M,2.83%
14/01/2022,36.8,36.4,36.8,36.8,3.32M,1.10%
13/01/2022,36.4,36.4,36.8,36.4,7.53M,0.00%
12/1/2022,36.4,36.4,36.4,36.4,6.17M,0.00%
11/1/2022,36.4,38.4,36.4,36.4,1.06M,-5.21%
10/1/2022,38.4,38.4,38.4,38.4,526.81K,0.00%
7/1/2022,38.4,38.4,38.4,38.4,128.12K,0.00%
6/1/2022,38.4,38.4,38.4,38.4,118.86K,0.00%
5/1/2022,38.4,38.4,38.4,38.4,5.07M,0.00%
4/1/2022,38.4,40,38.4,38.4,6.07M,-4.00%
31/12/2021,40,38.4,40,36.36,2.88M,4.17%
30/12/2021,38.4,38.4,38.4,38.4,36.42K,0.00%
29/12/2021,38.4,38.4,38.4,38.4,144.19K,0.00%
24/12/2021,38.4,38.4,38.4,38.4,216.10K,0.00%
23/12/2021,38.4,38.4,38.4,38.4,510.29K,0.00%
22/12/2021,38.4,38.4,38.4,38.4,46.81K,0.00%
21/12/2021,38.4,38.4,38.4,38.4,64.90K,0.00%
20/12/2021,38.4,38.4,38.4,38.4,3.23M,0.00%
17/12/2021,38.4,38.4,38.4,38.4,211.53K,0.00%
16/12/2021,38.4,38.4,38.4,38.4,276.73K,0.00%
15/12/2021,38.4,38,38.4,38,8.78M,1.05%
14/12/2021,38,37.6,38,38,3.62M,1.06%
13/12/2021,37.6,37.6,37.6,37.6,1.48M,0.00%
10/12/2021,37.6,37.6,37.6,37.6,1.19M,0.00%
9/12/2021,37.6,37.56,37.6,37.6,938.38K,0.11%
8/12/2021,37.56,37.56,37.56,37.56,187.79K,0.00%
7/12/2021,37.56,37.56,37.56,37.56,139.21K,0.00%
6/12/2021,37.56,37.56,37.56,37.56,123.90K,0.00%
3/12/2021,37.56,37.56,37.56,37.56,231.54K,0.00%
2/12/2021,37.56,37.44,37.56,37.28,6.27M,0.32%
1/12/2021,37.44,37.2,37.44,37.44,706.28K,0.65%
30/11/2021,37.2,37.2,37.2,37.2,243.50K,0.00%
29/11/2021,37.2,37.2,37.2,37.2,191.71K,0.00%
26/11/2021,37.2,38.4,37.2,37.2,1.14M,-3.13%
25/11/2021,38.4,40.48,38.4,37.6,10.72M,-5.14%
24/11/2021,40.48,40.48,40.48,40.48,1.21M,0.00%
23/11/2021,40.48,40.48,40.48,40.48,525.14K,0.00%
22/11/2021,40.48,40.48,40.48,40.48,144.07K,-0.78%
19/11/2021,40.8,42,41.6,40.8,9.54M,-2.86%
18/11/2021,42,42,42,41.6,3.03M,0.00%
17/11/2021,42,42,42,42,9.57M,0.00%
16/11/2021,42,42,42,42,15.67M,0.00%
15/11/2021,42,42,42,42,732.45K,0.00%
12/11/2021,42,42,42,42,624.75K,0.00%
11/11/2021,42,42,42,42,392.26K,0.00%
10/11/2021,42,42,42,42,90.94K,0.00%
9/11/2021,42,42,42,42,177.31K,0.00%
8/11/2021,42,42,42,42,115.90K,0.00%
5/11/2021,42,42,42,42,438.18K,0.00%
4/11/2021,42,42,42,42,826.37K,0.00%
3/11/2021,42,42,42,42,429.61K,0.00%
2/11/2021,42,42,42,42,307.96K,0.00%
1/11/2021,42,42.4,42,42,3.43M,-0.94%
29/10/2021,42.4,43.4,42.4,42,1.70M,-2.30%
28/10/2021,43.4,40.8,43.4,41.2,1.07M,6.37%
27/10/2021,40.8,40,40.8,40,4.60M,2.00%
26/10/2021,40,41.16,40,39.2,17.45M,-2.82%
25/10/2021,41.16,41.16,41.16,41.16,2.87M,0.00%
22/10/2021,41.16,41.16,41.16,41.16,302.55K,0.00%
21/10/2021,41.16,38.32,41.16,41.16,477.98K,7.41%
20/10/2021,38.32,38.32,38.32,38.32,877.21K,0.00%
18/10/2021,38.32,38.32,38.32,38.32,533.83K,0.00%
15/10/2021,38.32,37.6,38.32,37.6,9.61M,1.91%
14/10/2021,37.6,37.2,37.6,37.6,811.02K,1.08%
13/10/2021,37.2,37.2,37.2,37.2,1.87M,0.00%
