Date,Price,Open,High,Low,Vol.,Change %
11/12/2023,14.9,14.9,14.8,14.1,762.91K,0.00%
8/12/2023,14.9,14.9,14.85,14,532.08K,0.00%
7/12/2023,14.9,14.9,14.85,14,157.57K,0.00%
6/12/2023,14.9,14.9,14.9,14.7,186.66K,0.00%
5/12/2023,14.9,14.75,14.9,14.9,498.85K,1.02%
4/12/2023,14.75,14.75,14.85,14.5,622.05K,0.00%
1/12/2023,14.75,14.75,14.85,14,97.73K,0.00%
30/11/2023,14.75,15,14.75,14,1.06M,-1.67%
29/11/2023,15,15,14.9,13.9,120.42K,0.00%
28/11/2023,15,14.3,15,13.2,10.63M,4.90%
27/11/2023,14.3,14.3,15.15,13.95,690.57K,0.00%
24/11/2023,14.3,14.3,14.3,14.2,100.83K,0.00%
23/11/2023,14.3,14.8,14.95,14.3,1.10M,-3.38%
22/11/2023,14.8,14.2,14.8,14.8,913.42K,4.23%
21/11/2023,14.2,14.2,14.2,14.2,322.04K,0.00%
20/11/2023,14.2,13.95,14.2,14.2,854.73K,1.79%
17/11/2023,13.95,13.95,14.25,14,159.21K,0.00%
16/11/2023,13.95,13.95,13.95,13.95,734.49K,0.00%
15/11/2023,13.95,13.95,14,13.8,372.85K,0.00%
14/11/2023,13.95,13.8,13.95,13.7,764.34K,1.09%
13/11/2023,13.8,13.8,14,13,318.50K,0.00%
10/11/2023,13.8,13.8,14,13.8,119.59K,0.00%
9/11/2023,13.8,13.8,14,13.8,65.11K,0.00%
8/11/2023,13.8,13.8,14,13.75,111.41K,0.00%
7/11/2023,13.8,13.8,14,13.35,161.25K,0.00%
6/11/2023,13.8,13.8,13.8,13.8,219.64K,0.00%
3/11/2023,13.8,14,13.8,13.8,281.67K,-1.43%
2/11/2023,14,14,14.2,13.5,635.09K,0.00%
1/11/2023,14,14.35,14,14,1.25M,-2.44%
31/10/2023,14.35,14.35,13.9,13.4,325.61K,0.00%
30/10/2023,14.35,14.35,14.2,13.3,238.15K,0.00%
27/10/2023,14.35,14.35,14.15,13.25,285.48K,0.00%
26/10/2023,14.35,14.35,14.2,13.5,365.05K,0.00%
25/10/2023,14.35,13.6,14.35,14.35,697.38K,5.51%
24/10/2023,13.6,13.6,13.8,13.05,133.92K,0.00%
23/10/2023,13.6,13.6,13.6,13.6,339.66K,0.00%
20/10/2023,13.6,14.35,13.85,12.95,3.17M,-5.23%
19/10/2023,14.35,14.35,14.1,13.4,749.45K,0.00%
18/10/2023,14.35,14.35,14.2,13.5,287.04K,0.00%
17/10/2023,14.35,14.35,14.3,13.25,1.13M,0.00%
16/10/2023,14.35,14.25,14.35,14.35,632.68K,0.70%
13/10/2023,14.25,14.05,14.25,14,2.61M,1.42%
12/10/2023,14.05,13.25,14.05,14.05,1.00M,6.04%
11/10/2023,13.25,13.25,13.25,13.25,6.23M,0.00%
10/10/2023,13.25,13.85,13.3,13.25,4.30M,-4.33%
9/10/2023,13.85,13.85,13.8,13.3,501.38K,0.00%
6/10/2023,13.85,13.85,13.9,13.2,70.97K,0.00%
5/10/2023,13.85,13.85,13.9,13.4,312.32K,0.00%
4/10/2023,13.85,13.85,13.85,13.4,39.86K,0.00%
3/10/2023,13.85,13.9,13.9,13.85,820.00K,-0.36%
29/09/2023,13.9,13.85,13.9,13.85,2.14M,0.36%
28/09/2023,13.85,13.85,13.85,13.55,817.77K,0.00%
26/09/2023,13.85,13.85,13.9,13.7,177.73K,0.00%
25/09/2023,13.85,13.85,13.9,13.4,192.31K,0.00%
22/09/2023,13.85,13.85,13.95,13.5,450.20K,0.00%
21/09/2023,13.85,13.9,13.85,13.85,851.47K,-0.36%
20/09/2023,13.9,13.3,13.9,13.9,660.66K,4.51%
19/09/2023,13.3,14.5,13.7,13.3,2.52M,-8.28%
18/09/2023,14.5,14.5,14.4,13.7,102.91K,0.00%
15/09/2023,14.5,14.5,13.95,13.55,140.51K,0.00%
14/09/2023,14.5,14.5,14,13.7,508.62K,0.00%
13/09/2023,14.5,14.5,14,13.55,177.28K,0.00%
12/9/2023,14.5,14.5,14,13.5,161.23K,0.00%
11/9/2023,14.5,14.5,14.5,13.85,256.39K,0.00%
8/9/2023,14.5,14.5,14.5,14,228.83K,0.00%
7/9/2023,14.5,14,14.5,14,1.57M,3.57%
6/9/2023,14,13.8,14,14,1.68M,1.45%
5/9/2023,13.8,13.75,13.8,13.75,1.15M,0.36%
4/9/2023,13.75,13.5,13.75,13.65,2.05M,1.85%
1/9/2023,13.5,13.35,13.5,13.35,8.85M,1.12%
31/08/2023,13.35,14,13.4,13.25,4.37M,-4.64%
30/08/2023,14,14.05,14.75,13.3,7.51M,-0.36%
29/08/2023,14.05,14.1,14.05,14.05,1.05M,-0.35%
28/08/2023,14.1,14.1,14.4,13.5,115.93K,0.00%
25/08/2023,14.1,14.1,14.1,13.75,208.05K,0.00%
24/08/2023,14.1,14.5,14.1,14.1,839.17K,-2.76%
23/08/2023,14.5,14.5,14.5,13.5,52.30K,0.00%
22/08/2023,14.5,14.5,14.5,13.4,65.25K,0.00%
21/08/2023,14.5,14.5,14.55,13.2,204.26K,0.00%
18/08/2023,14.5,14.5,14.5,14.5,1.82M,0.00%
17/08/2023,14.5,14.5,14.6,13.25,108.69K,0.00%
16/08/2023,14.5,14.5,14.5,14.5,461.47K,0.00%
15/08/2023,14.5,15.6,14.5,14.5,901.80K,-7.05%
14/08/2023,15.6,15.6,14.7,14.25,503.81K,0.00%
11/8/2023,15.6,15.6,15.7,14.05,1.61M,0.00%
10/8/2023,15.6,16.2,15.6,14.75,941.38K,-3.70%
9/8/2023,16.2,16.2,16.15,14.75,217.23K,0.00%
8/8/2023,16.2,16.2,16.2,14.75,219.45K,0.00%
7/8/2023,16.2,16.2,16.2,14.75,145.33K,0.00%
4/8/2023,16.2,16.2,16.45,15.05,52.46K,0.00%
3/8/2023,16.2,15.5,16.2,16.2,461.05K,4.52%
2/8/2023,15.5,15.5,15.5,14.5,179.69K,0.00%
1/8/2023,15.5,15.5,16,14,50.13K,0.00%
31/07/2023,15.5,15.5,15,14,630.79K,0.00%
28/07/2023,15.5,15.5,15.3,14.05,877.70K,0.00%
27/07/2023,15.5,15.75,15.5,15.1,1.68M,-1.59%
26/07/2023,15.75,17.5,15.75,15.75,1.37M,-10.00%
25/07/2023,17.5,15.95,17.5,17.5,1.57M,9.72%
24/07/2023,15.95,17.45,16.7,15.75,1.65M,-8.60%
21/07/2023,17.45,17,17.45,17.45,475.19K,2.65%
20/07/2023,17,17,17,16,1.00M,0.00%
19/07/2023,17,16.75,17,16.5,913.72K,1.49%
18/07/2023,16.75,15.95,16.75,16,928.90K,5.02%
17/07/2023,15.95,14.5,15.95,15.95,800.84K,10.00%
14/07/2023,14.5,15,14.5,14.5,10.05M,-3.33%
13/07/2023,15,16,15.5,15,7.96M,-6.25%
12/7/2023,16,17.3,16,15.95,2.19M,-7.51%
11/7/2023,17.3,17.3,17,16.15,1.18M,0.00%
10/7/2023,17.3,17.3,17.3,16.6,746.85K,0.00%
7/7/2023,17.3,17.15,17.5,17.1,2.30M,0.87%
6/7/2023,17.15,17,17.15,16.55,2.05M,0.88%
5/7/2023,17,17.5,17,17,2.26M,-2.86%
4/7/2023,17.5,17.5,19.25,17.05,2.84M,0.00%
3/7/2023,17.5,16.3,17.9,17,3.15M,7.36%
30/06/2023,16.3,15.5,16.3,16.3,675.65K,5.16%
27/06/2023,15.5,15.5,15.6,15.1,538.96K,0.00%
26/06/2023,15.5,15.5,15.6,15.2,168.68K,0.00%
23/06/2023,15.5,15.1,15.5,15.1,4.59M,2.65%
22/06/2023,15.1,15.1,15.9,15.2,700.20K,0.00%
21/06/2023,15.1,15.1,15.9,15.1,1.49M,0.00%
20/06/2023,15.1,15,15.1,15.1,5.77M,0.67%
19/06/2023,15,15.7,15,15,2.01M,-4.46%
16/06/2023,15.7,15.65,16,15.7,3.01M,0.32%
15/06/2023,15.65,15.1,15.65,15.6,1.06M,3.64%
14/06/2023,15.1,15.1,16.1,15.1,971.37K,0.00%
13/06/2023,15.1,15,15.1,15.1,2.15M,0.67%
9/6/2023,15,15,15,14.75,519.18K,0.00%
8/6/2023,15,15,15,14.75,267.08K,0.00%
7/6/2023,15,15,15,15,2.95M,0.00%
6/6/2023,15,15,15,15,4.01M,0.00%
5/6/2023,15,15,15,15,4.06M,0.00%
2/6/2023,15,15,15,15,2.45M,0.00%
1/6/2023,15,15,15.35,14.85,789.52K,0.00%
31/05/2023,15,14.85,15,14.75,853.78K,1.01%
30/05/2023,14.85,14.45,14.85,14.85,231.39K,2.77%
26/05/2023,14.45,14.4,15.65,14.45,1.75M,0.35%
25/05/2023,14.4,15.7,14.4,14.4,2.29M,-8.28%
24/05/2023,15.7,14.7,15.9,15.25,1.71M,6.80%
23/05/2023,14.7,13.4,14.7,14.55,2.46M,9.70%
22/05/2023,13.4,13.15,13.4,13.4,591.06K,1.90%
19/05/2023,13.15,13.15,13.45,13.2,316.88K,0.00%
18/05/2023,13.15,13.15,13.35,13.05,666.24K,0.00%
17/05/2023,13.15,13.15,13.15,12.8,1.57M,0.00%
16/05/2023,13.15,13.15,13.7,13.1,1.17M,0.00%
15/05/2023,13.15,13.1,13.15,13.15,1.30M,0.38%
12/5/2023,13.1,13.7,14,13.1,4.06M,-4.38%
11/5/2023,13.7,13.7,14,13.1,507.25K,0.00%
10/5/2023,13.7,13.6,13.7,13.6,813.13K,0.74%
9/5/2023,13.6,13.6,13.8,13.5,259.82K,0.00%
8/5/2023,13.6,13.5,13.6,13.6,1.08M,0.74%
5/5/2023,13.5,13.5,13.9,13.6,149.77K,0.00%
4/5/2023,13.5,13.5,13.5,13.5,1.41M,0.00%
3/5/2023,13.5,13.5,13.65,13.1,134.86K,0.00%
2/5/2023,13.5,13.5,13.55,12.95,247.64K,0.00%
28/04/2023,13.5,13.5,13.65,13.05,17.62K,0.00%
27/04/2023,13.5,13.5,13.5,13.5,689.79K,0.00%
26/04/2023,13.5,13.5,13.5,13,446.46K,0.00%
25/04/2023,13.5,12.65,13.5,13.5,467.31K,6.72%
20/04/2023,12.65,12.65,13,12.6,533.33K,0.00%
19/04/2023,12.65,12.65,13.6,12.5,107.70K,0.00%
18/04/2023,12.65,12.65,13,12.5,350.16K,-1.94%
17/04/2023,12.9,12.9,13.4,12.45,117.31K,0.00%
14/04/2023,12.9,12.9,13.4,12.6,55.41K,0.00%
13/04/2023,12.9,12.9,13.05,12.4,183.51K,0.00%
12/4/2023,12.9,12.9,12.8,12.2,176.56K,0.00%
11/4/2023,12.9,13.05,12.9,12.9,352.10K,-1.15%
6/4/2023,13.05,13.05,13.05,12.3,148.17K,0.00%
5/4/2023,13.05,13.5,13.05,13.05,221.50K,-3.33%
4/4/2023,13.5,13.5,13.75,13,183.83K,0.00%
3/4/2023,13.5,13.4,13.5,13.4,3.70M,0.00%
31/03/2023,13.5,13.5,13.5,13.5,327.80K,0.00%
30/03/2023,13.5,14,13.5,13.5,143.34K,-3.57%
29/03/2023,14,14,14,13.5,123.43K,0.00%
28/03/2023,14,14,14,13.6,107.65K,0.00%
27/03/2023,14,14,14.25,13.9,218.78K,0.00%
24/03/2023,14,14,14,14,256.47K,0.00%
23/03/2023,14,14,14.75,13.6,853.98K,0.00%
22/03/2023,14,14,15.1,14,526.92K,0.00%
21/03/2023,14,14,14.9,13.85,148.31K,0.00%
20/03/2023,14,14,14.35,13.85,116.26K,0.00%
17/03/2023,14,14,14.35,14,34.28K,0.00%
16/03/2023,14,14,14,14,438.44K,0.00%
15/03/2023,14,13.5,14,14,626.11K,3.70%
14/03/2023,13.5,13.5,13.8,13.5,55.42K,0.00%
13/03/2023,13.5,13.5,13.8,13.3,342.64K,0.00%
10/3/2023,13.5,13.5,13.8,13.05,400.46K,0.00%
9/3/2023,13.5,13.5,13.6,13.35,365.69K,0.00%
8/3/2023,13.5,13.8,13.55,13.5,3.33M,-2.17%
7/3/2023,13.8,13.8,14.4,13.8,104.75K,0.00%
6/3/2023,13.8,13.8,13.8,13.8,215.93K,0.00%
3/3/2023,13.8,13.5,13.8,13.8,428.30K,2.22%
2/3/2023,13.5,13.5,14,13.7,141.71K,0.00%
1/3/2023,13.5,13.5,13.95,13.5,115.04K,0.00%
28/02/2023,13.5,13.5,13.5,13.5,204.04K,0.00%
27/02/2023,13.5,13.5,13.7,13.2,65.68K,0.00%
24/02/2023,13.5,13.5,13.7,13.5,28.85K,0.00%
23/02/2023,13.5,13.2,13.5,13.4,2.78M,2.27%
22/02/2023,13.2,13.2,13.45,13.2,109.83K,0.00%
21/02/2023,13.2,13.25,13.2,13.2,358.68K,-0.38%
20/02/2023,13.25,13.25,13.4,13.1,17.43K,0.00%
17/02/2023,13.25,13.25,13.25,13.1,76.24K,0.00%
16/02/2023,13.25,13.25,13.25,13.1,79.53K,0.00%
15/02/2023,13.25,13.25,13.4,13.05,229.25K,0.00%
14/02/2023,13.25,13.1,13.25,13.25,418.30K,1.15%
13/02/2023,13.1,13.1,13.45,13.05,698.00K,0.00%
10/2/2023,13.1,13.1,13.6,13.15,331.90K,0.00%
9/2/2023,13.1,13.05,13.15,13.1,1.93M,0.38%
8/2/2023,13.05,13.6,13.95,13.05,657.81K,-4.04%
7/2/2023,13.6,13.55,13.6,13.6,315.80K,0.37%
6/2/2023,13.55,13.55,13.95,13.4,90.40K,0.00%
3/2/2023,13.55,13.55,14,13.45,67.46K,0.00%
2/2/2023,13.55,13.55,13.9,13.55,235.41K,0.00%
