Date,Price,Open,High,Low,Vol.,Change %
10/8/2017,91,91.87,91,91,1.08M,4.00%
9/8/2017,87.5,83.34,87.5,87.5,562.44K,10.23%
8/8/2017,79.38,75.6,79.38,79.38,232.00K,5.00%
7/8/2017,75.6,75.6,75.6,75.6,23.71K,5.00%
4/8/2017,72,73.36,0,0,377.55K,0.00%
3/8/2017,72,72,72,72,449.81K,3.05%
2/8/2017,69.87,69.87,69.87,69.87,1.13M,4.99%
1/8/2017,66.55,66,66.55,66,5.61M,0.68%
31/07/2017,66.1,67,67.8,65.1,169.22K,1.61%
28/07/2017,65.05,65.05,65.05,65.05,209.79K,-1.44%
27/07/2017,66,65,66,65,2.23M,3.13%
26/07/2017,64,66.5,67,64,74.67K,-3.18%
25/07/2017,66.1,66.1,66.1,66.1,2.08M,1.66%
24/07/2017,65.02,68.99,68.99,65,69.30K,-1.63%
21/07/2017,66.1,68.95,0,0,136.83K,1.60%
20/07/2017,65.06,64.55,69,64.55,58.72K,-1.57%
19/07/2017,66.1,66.1,66.1,66.1,2.05M,1.69%
18/07/2017,65,65.98,66.15,62.1,63.68K,2.99%
17/07/2017,63.11,66.14,66.14,63,215.28K,-1.39%
14/07/2017,64,65,65,61.68,90.96K,1.59%
13/07/2017,63,63,63,63,220.93K,0.00%
12/7/2017,63,60.71,63,60.71,65.86K,5.00%
11/7/2017,60,60,60,60,226.07K,-3.46%
10/7/2017,62.15,64.8,64.8,62.1,34.73K,-0.61%
7/7/2017,62.53,62,65,62,34.87K,0.85%
6/7/2017,62,62,62,62,417.45K,-1.59%
5/7/2017,63,63,63,63,348.20K,-2.39%
4/7/2017,64.54,64.54,64.54,64.54,476.90K,-4.99%
3/7/2017,67.93,67.93,67.93,67.93,151.01K,-0.03%
30/06/2017,67.95,73,73,67.95,62.89K,-0.04%
29/06/2017,67.98,73,73,67.98,110.97K,-4.92%
28/06/2017,71.5,72,0,0,26.21K,-2.05%
23/06/2017,73,71.49,73,69.56,125.07K,2.10%
22/06/2017,71.5,71.6,71.5,71.49,654.64K,0.70%
21/06/2017,71,73,73,69.4,281.71K,-2.07%
20/06/2017,72.5,72.01,73,72.01,91.27K,-1.36%
19/06/2017,73.5,74,74,72.01,69.91K,0.68%
16/06/2017,73,72.01,73,72,41.15K,0.00%
15/06/2017,73,74.98,74.98,71.51,286.45K,0.00%
14/06/2017,73,73,73,73,216.35K,1.25%
13/06/2017,72.1,73,73,71.65,182.45K,-1.23%
12/6/2017,73,73,73,73,180.87K,0.00%
9/6/2017,73,73,73,71.25,144.41K,3.55%
8/6/2017,70.5,73,73,70.5,124.25K,-3.42%
7/6/2017,73,73,73,73,168.01K,0.00%
6/6/2017,73,69.35,74,69.35,247.29K,1.39%
5/6/2017,72,73,74.95,72,255.68K,-1.37%
2/6/2017,73,73,73,73,160.90K,1.39%
1/6/2017,72,73,73,67.6,38.66K,1.41%
31/05/2017,71,70,71,70,919.68K,1.43%
30/05/2017,70,70,70,70,829.57K,0.01%
26/05/2017,69.99,69.5,70,66.5,59.59K,5.25%
25/05/2017,66.5,66.5,68.9,66.5,20.26K,-0.30%
24/05/2017,66.7,66.5,69.39,66.5,34.23K,-0.45%
23/05/2017,67,69,69,66.5,27.36K,0.75%
22/05/2017,66.5,70,70,66.5,22.42K,-5.00%
19/05/2017,70,70,70,70,571.22K,2.94%
18/05/2017,68,69.9,70,67,27.93K,-2.86%
17/05/2017,70,70,70,70,177.91K,0.00%
16/05/2017,70,69,70,69,410.67K,1.45%
15/05/2017,69,71,71,66.21,27.22K,0.00%
12/5/2017,69,69,69,69,174.49K,4.45%
11/5/2017,66.06,66,66.06,66,311.27K,1.63%
10/5/2017,65,65,65,65,1.43M,3.17%
9/5/2017,63,63,63,63,606.79K,0.00%
8/5/2017,63,63,63.4,63,1.97M,0.00%
5/5/2017,63,63,64,63,708.07K,0.00%
4/5/2017,63,60,63,60,2.73M,3.28%
3/5/2017,61,61,61,61,307.93K,6.42%
2/5/2017,57.32,60,62.3,57.05,180.64K,-4.48%
28/04/2017,60.01,60,60.01,60,3.81M,0.02%
27/04/2017,60,63,60,60,684.89K,-3.24%
26/04/2017,62.01,63,63,62,80.18K,-1.57%
25/04/2017,63,63,63,62.15,49.84K,1.61%
24/04/2017,62,60.11,62.97,60.11,36.91K,3.33%
21/04/2017,60,60,60,60,3.26M,0.00%
20/04/2017,60,60,60,57.54,66.00K,0.00%
19/04/2017,60,60,60,58.12,59.35K,0.00%
18/04/2017,60,60,60,60,673.04K,0.00%
13/04/2017,60,60,60,59.99,134.97K,0.00%
12/4/2017,60,60,60,60,1.77M,0.00%
11/4/2017,60,60,60,60,3.32M,-0.17%
10/4/2017,60.1,62.94,62.94,60.1,85.55K,0.08%
7/4/2017,60.05,60.05,60.05,60.05,136.65K,-0.74%
6/4/2017,60.5,60.5,60.5,60.5,275.34K,0.41%
5/4/2017,60.25,63.51,63.51,60.25,126.21K,-0.41%
4/4/2017,60.5,60.5,60.5,60.5,199.58K,-0.02%
3/4/2017,60.51,58.3,63,58.3,30.05K,0.00%
31/03/2017,60.51,60.51,60.51,60.51,352.27K,0.85%
30/03/2017,60,60,60,60,28.45K,-1.32%
29/03/2017,60.8,60.1,60.8,60.1,1.34M,1.22%
28/03/2017,60.07,60,62.5,60,2.28M,0.07%
27/03/2017,60.03,60.03,60.03,60.03,103.88K,0.05%
24/03/2017,60,60.03,60.03,60,3.07M,0.00%
23/03/2017,60,63,63,59.51,608.41K,-4.21%
22/03/2017,62.64,60.5,62.64,62.64,135.49K,4.35%
21/03/2017,60.03,60.99,60.99,60.03,419.78K,-4.99%
20/03/2017,63.18,63.3,63.4,63.18,1.06M,-4.99%
17/03/2017,66.5,66.5,66.5,66.5,86.55K,-4.99%
16/03/2017,69.99,69.99,69.99,69.99,75.71K,5.65%
15/03/2017,66.25,67.14,66.25,63.79,820.97K,2.94%
14/03/2017,64.36,64.35,64.36,64.35,808.86K,0.03%
13/03/2017,64.34,64.36,64.36,64.34,95.33K,2.99%
10/3/2017,62.47,63.87,63.87,62.47,106.09K,-2.94%
9/3/2017,64.36,63.41,64.36,63.41,276.31K,1.59%
8/3/2017,63.35,60.1,63.35,60.1,10.93M,3.94%
7/3/2017,60.95,60.1,60.95,60.1,4.56M,4.98%
6/3/2017,58.06,58.03,58.06,58.03,161.44K,-8.58%
3/3/2017,63.51,63.5,66,62.51,24.41K,5.67%
2/3/2017,60.1,60.1,60.1,60.1,7.46M,2.25%
1/3/2017,58.78,61.52,61.52,58.78,6.41M,-4.96%
28/02/2017,61.85,61.52,64.36,61.52,1.82M,-3.90%
27/02/2017,64.36,61.66,64.36,61.62,1.49M,0.00%
24/02/2017,64.36,64.36,65.3,64.36,9.12M,0.00%
23/02/2017,64.36,64.47,64.47,64.36,733.56K,4.82%
22/02/2017,61.4,59.62,61.4,59.62,244.99K,4.58%
21/02/2017,58.71,58.71,58.71,58.71,192.69K,1.52%
20/02/2017,57.83,60.56,57.83,57.73,796.98K,0.26%
17/02/2017,57.68,60.56,57.73,57.68,358.80K,-0.09%
16/02/2017,57.73,58.68,57.73,57.56,436.78K,0.12%
15/02/2017,57.66,57.73,57.73,57.66,305.27K,-4.80%
14/02/2017,60.57,61.52,61.52,60.57,252.68K,-6.82%
13/02/2017,65,62.14,65,62.14,50.05K,5.66%
10/2/2017,61.52,62.84,61.52,61.52,172.41K,0.00%
9/2/2017,61.52,60.69,61.52,58.43,175.62K,0.03%
8/2/2017,61.5,63.41,0,0,242.97K,0.00%
7/2/2017,61.5,59.54,61.5,59.54,226.22K,-1.87%
6/2/2017,62.67,65.97,62.67,62.67,92.20K,-0.43%
3/2/2017,62.94,61.52,62.94,61.52,125.28K,4.67%
2/2/2017,60.13,57.27,60.13,56.98,734.60K,4.25%
1/2/2017,57.68,57.7,57.7,57.68,262.78K,-4.99%
31/01/2017,60.71,63.9,60.71,60.71,2.14M,-1.16%
30/01/2017,61.42,61.42,61.42,58.36,4.68M,0.00%
27/01/2017,61.42,59.85,62.83,61.42,245.29K,-2.48%
26/01/2017,62.98,62.98,63.01,62.98,2.18M,-5.01%
25/01/2017,66.3,67.2,67.2,66.3,429.91K,-1.34%
24/01/2017,67.2,66.56,69.87,66.58,164.44K,3.66%
23/01/2017,64.83,61.52,64.83,60.72,336.91K,2.24%
20/01/2017,63.41,63.65,63.65,63.41,403.88K,4.60%
19/01/2017,60.62,57.73,60.62,58.77,1.13M,0.63%
18/01/2017,60.24,60.28,60.29,60.24,359.04K,-5.00%
17/01/2017,63.41,66.25,65.3,63.41,193.74K,-4.27%
16/01/2017,66.24,66.26,66.26,65.65,290.81K,-4.15%
13/01/2017,69.11,69.56,69.56,69.11,129.92K,-0.65%
12/1/2017,69.56,69.56,69.56,69.56,86.21K,-1.88%
11/1/2017,70.89,71.93,70.89,70.89,151.38K,-6.72%
10/1/2017,76,76,76,76,175.64K,0.00%
9/1/2017,76,77,79.88,76,78.42K,0.38%
6/1/2017,75.71,75.71,75.71,75.71,65.03K,1.39%
5/1/2017,74.67,74.67,74.67,74.67,438.95K,-5.00%
4/1/2017,78.6,74.67,0,0,115.20K,-0.38%
3/1/2017,78.9,78.9,78.9,78.9,36.01K,0.38%
30/12/2016,78.6,78.93,78.6,74.99,132.74K,2.02%
29/12/2016,77.04,80,82.5,77,101.85K,1.76%
28/12/2016,75.71,75.8,75.71,75.71,77.88K,-5.10%
23/12/2016,79.78,79.78,79.78,79.78,248.19K,-5.00%
22/12/2016,83.98,82.34,83.98,82.34,694.87K,1.41%
21/12/2016,82.81,83.85,0,0,38.98K,0.00%
20/12/2016,82.81,79.03,82.81,76.53,578.40K,2.93%
19/12/2016,80.45,77.11,80.45,80.45,95.10K,9.55%
16/12/2016,73.44,69.81,0,0,31.84K,0.00%
15/12/2016,73.44,70.98,73.82,67.97,228.26K,2.64%
14/12/2016,71.55,71.55,71.55,71.55,214.25K,0.00%
13/12/2016,71.55,72.88,72.88,71.55,206.35K,-2.96%
9/12/2016,73.73,75.61,0,0,71.33K,0.00%
8/12/2016,73.73,75.67,73.73,73.73,145.86K,-1.06%
7/12/2016,74.52,74.76,74.52,71.03,223.55K,3.17%
6/12/2016,72.23,72.23,72.88,72.23,390.79K,-5.00%
5/12/2016,76.03,80.02,76.03,76.03,33.76K,-10.08%
2/12/2016,84.55,84.55,84.55,84.55,14.34K,0.00%
1/12/2016,84.55,84.55,84.55,84.55,9.81K,0.00%
30/11/2016,84.55,84.55,84.55,84.55,1.06K,0.00%
29/11/2016,84.55,84.55,84.55,84.55,5.01K,0.00%
28/11/2016,84.55,84.55,84.55,84.55,2.48K,0.00%
25/11/2016,84.55,84.55,84.55,84.55,,0.00%
24/11/2016,84.55,84.55,84.55,84.55,9.15K,0.00%
23/11/2016,84.55,84.55,84.55,84.55,64.58K,0.00%
22/11/2016,84.55,84.55,84.55,84.55,11.37K,0.00%
21/11/2016,84.55,84.55,88.48,84.55,33.93K,0.00%
18/11/2016,84.55,88.5,88.5,84.55,15.40K,0.00%
17/11/2016,84.55,85.5,85.5,84.55,34.11K,0.00%
16/11/2016,84.55,87,87,84.55,54.27K,0.38%
15/11/2016,84.23,84.23,84.23,84.23,1.13M,0.00%
14/11/2016,84.23,84.23,84.23,84.23,3.21M,-1.12%
11/11/2016,85.18,85.18,85.18,85.18,671.74K,0.00%
10/11/2016,85.18,88.01,0,0,26.59K,0.00%
9/11/2016,85.18,85.08,85.18,85.08,794.43K,1.70%
8/11/2016,83.76,81.39,83.76,81.39,82.80K,2.91%
7/11/2016,81.39,81.25,81.39,81.39,79.06K,-4.12%
4/11/2016,84.89,82.92,84.89,82.92,38.13K,2.36%
3/11/2016,82.93,82.35,83.99,82.35,14.97K,4.31%
2/11/2016,79.5,77.89,79.5,77.89,700.42K,2.33%
1/11/2016,77.69,76.66,77.69,76.66,902.26K,2.62%
31/10/2016,75.71,75.71,75.73,75.71,302.18K,-7.56%
28/10/2016,81.9,82.48,82.48,80.01,41.47K,2.27%
27/10/2016,80.08,82.99,82.99,80.02,40.26K,0.00%
26/10/2016,80.08,83.4,83.4,80.01,20.36K,5.77%
25/10/2016,75.71,75.71,75.71,75.71,59.64K,-0.63%
24/10/2016,76.19,79.5,76.19,75.71,1.80M,0.63%
21/10/2016,75.71,79.49,75.71,75.71,1.18M,0.00%
20/10/2016,75.71,78.41,75.71,75.71,1.26M,1.38%
19/10/2016,74.68,71.13,74.68,74.68,280.58K,-0.25%
18/10/2016,74.87,75.71,75.72,74.87,211.44K,-3.86%
17/10/2016,77.88,81.98,77.88,77.88,305.10K,-0.85%
14/10/2016,78.55,79.26,79.56,78.55,823.78K,3.67%
13/10/2016,75.77,75.71,75.9,75.71,406.60K,0.40%
12/10/2016,75.47,74.29,75.47,71.93,945.27K,4.92%
11/10/2016,71.93,71.78,74.58,68.19,6.38M,-4.79%
10/10/2016,75.55,79.53,79.53,75.55,100.06K,-9.75%
7/10/2016,83.71,88.11,83.71,83.71,148.01K,-10.09%
6/10/2016,93.1,93.1,93.1,93.1,2.28K,0.00%
5/10/2016,93.1,93.1,93.1,93.1,3.73K,0.00%
4/10/2016,93.1,93.13,95,93.1,17.61K,0.39%
30/09/2016,92.74,91.8,92.74,91.8,61.61K,-3.87%
29/09/2016,96.47,92.92,97,92.92,63.40K,5.09%
28/09/2016,91.8,91.8,91.8,91.8,119.16K,-0.66%
27/09/2016,92.41,89.72,92.41,89.72,73.94K,4.99%
26/09/2016,88.02,88.02,88.02,88.02,200.29K,0.00%
